Array Size,Time (microseconds)
2000,9e-006
3000,2.5e-005
4000,3e-005
5000,5.2e-005
6000,7.2e-005
7000,8.7e-005
8000,0.000117
9000,0.000122
10000,0.000147
11000,0.000173
12000,0.000196
13000,0.000195
14000,0.000199
15000,0.000214
16000,0.000259
17000,0.000269
18000,0.000324
19000,0.000316
20000,0.00031
21000,0.000364
